t_rel_s,sim_joint6_deg,real_joint6_deg
1.7120,28.3807,28.3807
1.7160,28.3807,28.3807
1.7200,28.3806,28.3807
1.7240,28.3807,28.3807
1.7280,28.3807,28.3807
1.7320,28.3806,28.3807
1.7360,28.3807,28.3807
1.7400,28.3806,28.3807
1.7440,28.3807,28.3807
1.7480,28.3807,28.3807
1.7520,28.3805,28.3807
1.7560,28.3807,28.3806
1.7600,28.3808,28.3806
1.7640,28.3806,28.3806
1.7680,28.3807,28.3806
1.7720,28.3807,28.3806
1.7760,28.3805,28.3806
1.7800,28.3807,28.3806
1.7840,28.3807,28.3806
1.7880,28.3806,28.3806
1.7920,28.3807,28.3806
1.7960,28.3808,28.3806
1.8000,28.3806,28.3806
1.8040,28.3807,28.3806
1.8080,28.3807,28.3806
1.8120,28.3806,28.3806
1.8160,28.3807,28.3806
1.8200,28.3806,28.3806
1.8240,28.3806,28.3806
1.8280,28.3807,28.3806
1.8320,28.3806,28.3806
1.8360,28.3807,28.3806
1.8400,28.3806,28.3806
1.8440,28.3806,28.3806
1.8480,28.3807,28.3806
1.8520,28.3806,28.3806
1.8560,28.3807,28.3806
1.8600,28.3805,28.3806
1.8640,28.3806,28.3806
1.8680,28.3807,28.3806
1.8720,28.3805,28.3806
1.8760,28.3806,28.3806
1.8800,28.3805,28.3806
1.8840,28.3806,28.3806
1.8880,28.3807,28.3806
1.8920,28.3806,28.3806
1.8960,28.3806,28.3806
1.9000,28.3807,28.3806
1.9040,28.3805,28.3806
1.9080,28.3807,28.3806
1.9120,28.3806,28.3806
1.9160,28.3806,28.3806
1.9200,28.3807,28.3806
1.9240,28.3805,28.3806
1.9280,28.3806,28.3806
1.9320,28.3807,28.3806
1.9360,28.3805,28.3806
1.9400,28.3806,28.3806
1.9440,28.3807,28.3806
1.9480,28.3805,28.3806
1.9520,28.3806,28.3806
1.9560,28.3808,28.3806
1.9600,28.3806,28.3806
1.9640,28.3806,28.3806
1.9680,28.3807,28.3806
1.9720,28.3806,28.3806
1.9760,28.3806,28.3806
1.9800,28.3807,28.3806
1.9840,28.3806,28.3806
1.9880,28.3806,28.3806
1.9920,28.3806,28.3806
1.9960,28.3806,28.3806
2.0000,28.3806,28.3806
2.0040,28.3806,28.3806
2.0080,28.3806,28.3806
2.0120,28.3806,28.3806
2.0160,28.3806,28.3806
2.0200,28.3806,28.3806
2.0240,28.3806,28.3806
2.0280,28.3806,28.3806
2.0320,28.3806,28.3806
2.0360,28.3806,28.3806
2.0400,28.3806,28.3806
2.0440,28.3806,28.3806
2.0480,28.3806,28.3806
2.0520,28.3806,28.3806
2.0560,28.3806,28.3806
2.0600,28.3806,28.3806
2.0640,28.3806,28.3806
2.0680,28.3806,28.3806
2.0720,28.3806,28.3806
2.0760,28.3806,28.3806
2.0800,28.3806,28.3806
2.0840,28.3806,28.3806
2.0880,28.3806,28.3806
2.0920,28.3805,28.3806
2.0960,28.3806,28.3806
2.1000,28.3806,28.3806
2.1040,28.3806,28.3806
2.1080,28.3806,28.3806
2.1120,28.3806,28.3806
2.1160,28.3806,28.3806
2.1200,28.3806,28.3806
2.1240,28.3806,28.3806
2.1280,28.3806,28.3806
2.1320,28.3806,28.3806
2.1360,28.3806,28.3805
2.1400,28.3806,28.3805
2.1440,28.3805,28.3806
2.1480,28.3805,28.3806
2.1520,28.3806,28.3806
2.1560,28.3806,28.3806
2.1600,28.3806,28.3806
2.1640,28.3805,28.3806
2.1680,28.3805,28.3806
2.1720,28.3806,28.3806
2.1760,28.3806,28.3806
2.1800,28.3806,28.3806
2.1840,28.3806,28.3806
2.1880,28.3805,28.3806
2.1920,28.3806,28.3806
2.1960,28.3806,28.3806
2.2000,28.3806,28.3806
2.2040,28.3805,28.3806
2.2080,28.3805,28.3806
2.2120,28.3806,28.3806
2.2160,28.3806,28.3806
2.2200,28.3805,28.3806
2.2240,28.3805,28.3806
2.2280,28.3806,28.3806
2.2320,28.3806,28.3806
2.2360,28.3806,28.3806
2.2400,28.3806,28.3806
2.2440,28.3805,28.3806
2.2480,28.3805,28.3806
2.2520,28.3805,28.3806
2.2560,28.3805,28.3806
2.2600,28.3806,28.3806
2.2640,28.3806,28.3806
2.2680,28.3806,28.3806
2.2720,28.3806,28.3806
2.2760,28.3806,28.3806
2.2800,28.3805,28.3806
2.2840,28.3806,28.3806
2.2880,28.3806,28.3806
