t_rel_s,sim_Index_deg,real_Index_deg
1.7600,36.7165,27.5958
1.7640,36.7165,26.8468
1.7680,36.7165,26.3991
1.7720,36.7165,26.1303
1.7760,36.3745,25.8213
1.7800,35.3199,25.2943
1.7840,35.3199,24.9973
1.7880,35.3199,24.5520
1.7920,35.3199,24.1362
1.7960,34.9626,23.9049
1.8000,33.8424,23.5918
1.8040,33.8424,22.8221
1.8080,33.8424,22.3907
1.8120,33.8424,22.0319
1.8160,33.5894,21.5469
1.8200,32.2949,21.2811
1.8240,32.2948,20.9982
1.8280,32.2948,20.5466
1.8320,32.2948,20.1259
1.8360,31.9388,19.8060
1.8400,30.6864,18.9518
1.8440,30.6864,18.6500
1.8480,30.6864,18.3825
1.8520,30.6864,18.0095
1.8560,30.3160,17.5253
1.8600,29.0253,17.2358
1.8640,29.0253,16.9652
1.8680,29.0253,16.4971
1.8720,29.0253,16.1012
1.8760,28.7659,15.8123
1.8800,27.4440,15.3093
1.8840,27.3186,14.9860
1.8880,27.3186,14.7017
1.8920,27.3186,14.3697
1.8960,27.3186,13.9858
1.9000,25.6169,13.2368
1.9040,25.6169,12.6765
1.9080,25.6169,12.3501
1.9120,25.6169,12.0865
1.9160,25.3192,11.7520
1.9200,23.8304,11.2112
1.9240,23.8304,10.9493
1.9280,23.8304,10.6854
1.9320,23.8304,10.1683
1.9360,23.5687,9.4879
1.9400,22.0594,9.2062
1.9440,22.0594,8.7408
1.9480,22.0594,8.3621
1.9520,22.0594,8.0722
1.9560,21.7055,7.7362
1.9600,20.2130,7.2091
1.9640,20.2130,6.9288
1.9680,20.2130,6.8755
1.9720,20.2130,6.8755
1.9760,19.9457,6.8755
1.9800,18.4347,6.8755
1.9840,18.4347,6.8755
1.9880,18.4347,6.8755
1.9920,18.4347,6.8755
1.9960,18.3121,6.8755
2.0000,16.8934,6.8755
2.0040,16.8934,6.8755
2.0080,16.8934,6.8755
2.0120,16.8934,6.8755
2.0160,16.8934,6.8755
2.0200,16.6960,6.8755
2.0240,15.5577,6.8755
2.0280,15.5577,6.8755
2.0320,15.5577,6.8755
2.0360,15.4068,6.8755
2.0400,14.4001,6.8755
2.0440,14.4001,6.8755
2.0480,14.4001,6.8755
2.0520,14.4001,6.8755
2.0560,14.2761,6.8755
2.0600,13.3968,6.8755
2.0640,13.3968,6.8755
2.0680,13.3968,6.8755
2.0720,13.3968,6.8755
2.0760,13.2778,6.8755
2.0800,12.5273,6.8755
2.0840,12.5273,6.8755
2.0880,12.5273,6.8755
2.0920,12.5273,6.8755
2.0960,12.4607,6.8755
2.1000,11.7737,6.8755
2.1040,11.7737,6.8755
2.1080,11.7737,6.8755
2.1120,11.7737,6.8755
2.1160,11.7737,6.8755
2.1200,11.6987,6.8755
2.1240,11.1206,6.8755
2.1280,11.1206,6.8755
2.1320,11.1206,6.8755
2.1360,11.1206,6.8755
2.1400,11.0495,6.8755
2.1440,10.5546,6.8755
2.1480,10.5546,6.8755
2.1520,10.5546,6.8755
2.1560,10.5546,6.8755
2.1600,10.4966,6.8755
2.1640,10.0641,6.8755
2.1680,10.0641,6.8755
2.1720,10.0641,6.8755
2.1760,10.0641,6.8755
2.1800,10.0167,6.8755
2.1840,9.6389,6.8755
2.1880,9.6389,6.8755
2.1920,9.6389,6.8755
2.1960,9.6389,6.8755
2.2000,9.6389,6.8755
2.2040,9.6389,6.8755
2.2080,9.6389,6.8755
2.2120,9.6389,6.8755
2.2160,9.6389,6.8755
2.2200,9.6028,6.8755
2.2240,9.2705,6.8755
2.2280,9.2705,6.8755
2.2320,9.2705,6.8755
2.2360,9.2705,6.8755
2.2400,9.2405,6.8755
2.2440,8.9511,6.8755
2.2480,8.9511,6.8755
2.2520,8.9511,6.8755
2.2560,8.9511,6.8755
2.2600,8.9511,6.8755
2.2640,8.9241,6.8755
2.2680,8.6744,6.8755
2.2720,8.6499,6.8755
2.2760,8.4064,6.8755
2.2800,8.1695,6.8755
2.2840,7.9375,6.8755
2.2880,7.6856,6.8755
2.2920,7.4464,6.8755
2.2960,7.2071,6.8755
2.3000,6.9954,6.8755
2.3040,6.9939,6.8755
2.3080,6.9780,6.8755
2.3120,6.9626,6.8755
2.3160,6.9468,6.8755
2.3200,6.9313,6.8755
2.3240,6.9162,6.8755
2.3280,6.9001,6.8755
2.3320,6.8849,6.8755
2.3360,6.8755,6.8755
2.3400,6.8755,6.8755
2.3440,6.8755,6.8755
2.3480,6.8755,6.8755
2.3520,6.8755,6.8755
2.3560,6.8755,6.8755
2.3600,6.8755,6.8755
2.3640,6.8755,6.8755
2.3680,6.8755,6.8755
2.3720,6.8755,6.8755
2.3760,6.8755,6.8755
2.3800,6.8755,6.8755
2.3840,6.8755,6.8755
2.3880,6.8755,6.8755
2.3920,6.8755,6.8755
2.3960,6.8755,6.8755
2.4000,6.8755,6.8755
2.4040,6.8755,6.8755
2.4080,6.8755,6.8755
2.4120,6.8755,6.8755
2.4160,6.8755,6.8755
2.4200,6.8755,6.8755
2.4240,6.8755,6.8755
2.4280,6.8755,6.8755
2.4320,6.8755,6.8755
2.4360,6.8755,6.8755
2.4400,6.8755,6.8755
2.4440,6.8755,6.8755
2.4480,6.8755,6.8755
2.4520,6.8755,6.8755
2.4560,6.8755,6.8755
2.4600,6.8755,6.8755
2.4640,6.8755,6.8755
2.4680,6.8755,6.8755
2.4720,6.8755,6.8755
2.4760,6.8755,6.8755
2.4800,6.8755,6.8755
2.4840,6.8755,6.8755
2.4880,6.8755,6.8755
2.4920,6.8755,6.8755
2.4960,6.8755,6.8755
2.5000,6.8755,6.8755
2.5040,6.8755,6.8755
2.5080,6.8755,6.8755
2.5120,6.8755,6.8755
2.5160,6.8755,6.8755
2.5200,6.8755,6.8755
2.5240,6.8755,6.8755
2.5280,6.8755,6.8755
2.5320,6.8755,6.8755
2.5360,6.8755,6.8755
2.5400,6.8755,6.8755
2.5440,6.8755,6.8755
2.5480,6.8755,6.8755
2.5520,6.8755,6.8755
2.5560,6.8755,6.8755
2.5600,6.8755,6.8755
2.5640,6.8755,6.8755
2.5680,6.8755,6.8755
2.5720,6.8755,6.8755
2.5760,6.8755,6.8755
2.5800,6.8755,6.8755
2.5840,6.8755,6.8755
2.5880,6.8755,6.8755
2.5920,6.8755,6.8755
2.5960,6.8755,6.8755
2.6000,6.8755,6.8755
2.6040,6.8755,6.8755
2.6080,6.8755,6.8755
2.6120,6.8755,6.8755
2.6160,6.8755,6.8755
2.6200,6.8755,6.8755
2.6240,6.8755,6.8755
2.6280,6.8755,6.8755
2.6320,6.8755,6.8755
2.6360,6.8755,6.8755
2.6400,6.8755,6.8755
2.6440,6.8755,6.8755
2.6480,6.8755,6.8755
2.6520,6.8755,6.8755
2.6560,6.8755,6.8755
2.6600,6.8755,6.8755
2.6640,6.8755,6.8755
2.6680,6.8755,6.8755
2.6720,6.8755,6.8755
2.6760,6.8755,6.8755
2.6800,6.8755,6.8755
2.6840,6.8755,6.8755
2.6880,6.8755,6.8755
2.6920,6.8755,6.8755
2.6960,6.8755,6.8755
2.7000,6.8755,6.8755
2.7040,6.8755,6.8755
2.7080,6.8755,6.8755
2.7120,6.8755,6.8755
2.7160,6.8755,6.8755
2.7200,6.8755,6.8755
2.7240,6.8755,6.8755
2.7280,6.8755,6.8755
2.7320,6.8755,6.8755
2.7360,6.8755,6.8755
2.7400,6.8755,6.8755
2.7440,6.8755,6.8755
2.7480,6.8755,6.8755
2.7520,6.8755,6.8755
2.7560,6.8755,6.8755
2.7600,6.8755,6.8755
2.7640,6.8755,6.8755
2.7680,6.8755,6.8755
2.7720,6.8755,6.8755
2.7760,6.8755,6.8755
2.7800,6.8755,6.8755
2.7840,6.8755,6.8755
2.7880,6.8755,6.8755
2.7920,6.8755,6.8755
2.7960,6.8755,7.1878
2.8000,6.8755,7.7825
2.8040,6.8755,8.2626
2.8080,6.8833,8.5296
2.8120,7.0536,8.8055
2.8160,7.0536,9.4531
2.8200,7.0536,10.0022
2.8240,7.0536,10.3216
2.8280,7.0536,10.8348
2.8320,7.4751,11.1251
2.8360,7.4750,11.4023
2.8400,7.4751,11.8050
2.8440,7.4750,12.2785
2.8480,7.5062,12.5433
2.8520,8.1074,12.8114
2.8560,8.1074,13.2732
2.8600,8.1074,13.6807
2.8640,8.1074,13.9983
2.8680,8.1074,14.4938
2.8720,8.8781,14.8230
2.8760,8.8781,15.1021
2.8800,8.8781,15.6573
2.8840,8.8781,16.2946
2.8880,8.9053,16.5478
2.8920,9.8577,17.0679
2.8960,9.8577,17.2267
2.9000,9.8577,17.5086
2.9040,9.8577,18.0341
2.9080,9.9134,18.5542
2.9120,10.9293,18.8424
2.9160,10.9293,19.1060
2.9200,10.9293,19.5136
2.9240,10.9293,19.9739
2.9280,11.0071,20.2318
2.9320,12.1251,20.7869
2.9360,12.1251,21.1142
2.9400,12.1251,21.3811
2.9440,12.1251,21.7135
2.9480,12.1653,22.2044
2.9520,13.3841,22.5144
2.9560,13.3841,23.2392
2.9600,13.3841,23.7309
2.9640,13.3841,23.9947
2.9680,13.3841,24.2629
2.9720,14.7869,24.7965
2.9760,14.7869,25.1322
2.9800,14.7869,25.2405
2.9840,14.7869,25.5038
2.9880,14.7869,26.2596
2.9920,16.1807,26.5168
2.9960,16.1807,26.9986
3.0000,16.1807,27.4082
3.0040,16.1807,27.6719
3.0080,16.2227,27.9587
3.0120,17.7003,28.4957
3.0160,17.7003,28.8054
3.0200,17.7003,29.2381
3.0240,17.7003,29.6791
3.0280,17.7578,29.9435
3.0320,19.2844,30.2085
3.0360,19.2844,30.7091
3.0400,19.2844,31.0814
3.0440,19.2844,31.3470
3.0480,19.3333,31.6387
3.0520,20.8800,32.1766
3.0560,20.8800,32.4915
3.0600,20.8800,32.9300
3.0640,20.8800,33.3551
3.0680,20.9240,33.6217
3.0720,22.5299,33.8889
3.0760,22.5299,34.3903
3.0800,22.5299,34.7602
3.0840,22.5299,35.1394
3.0880,22.5299,35.6317
3.0920,22.5777,35.8730
3.0960,24.2714,36.1534
3.1000,24.2714,36.6176
3.1040,24.2714,37.0371
3.1080,24.2714,37.3018
3.1120,24.3270,37.5614
3.1160,26.0034,38.0752
3.1200,26.0034,38.4414
3.1240,26.0034,38.8176
3.1280,26.0636,39.3017
3.1320,27.6825,39.5695
3.1360,27.6825,39.8449
3.1400,27.6825,40.2914
3.1440,27.6825,40.7115
3.1480,27.7193,40.9792
3.1520,29.4049,41.2385
3.1560,29.4049,41.2681
3.1600,29.4049,41.6304
3.1640,29.4049,41.9360
3.1680,29.4609,41.9360
3.1720,31.0757,41.9360
3.1760,31.0757,41.9360
3.1800,31.0757,41.9360
3.1840,31.0757,41.9360
3.1880,31.0757,41.9360
3.1920,31.1189,41.9360
3.1960,32.5238,41.9360
3.2000,32.5238,41.9360
3.2040,32.5238,41.9360
3.2080,32.5238,41.9360
3.2120,32.5273,41.9360
3.2160,33.7787,41.9360
3.2200,33.7787,41.9360
3.2240,33.7787,41.9360
3.2280,33.7787,41.9360
3.2320,33.8320,41.9360
3.2360,34.8550,41.9360
3.2400,34.8663,41.9360
3.2440,34.8663,41.9360
3.2480,34.8663,41.9360
3.2520,34.8663,41.9360
3.2560,35.8090,41.9360
3.2600,35.8090,41.9360
3.2640,35.8090,41.9360
3.2680,35.8090,41.9360
3.2720,35.8243,41.9360
3.2760,36.6259,41.9360
3.2800,36.6259,41.9360
3.2840,36.6259,41.9360
3.2880,36.6259,41.9360
3.2920,36.6275,41.9360
3.2960,37.3339,41.9360
3.3000,37.3339,41.9360
3.3040,37.3339,41.9360
3.3080,37.3339,41.9360
3.3120,37.3522,41.9360
3.3160,37.9475,41.9360
3.3200,37.9475,41.9360
3.3240,37.9475,41.9360
3.3280,37.9475,41.9360
3.3320,37.9569,41.9360
3.3360,38.4793,41.9360
3.3400,38.4793,41.9360
3.3440,38.4793,41.9360
3.3480,38.4793,41.9360
3.3520,38.4793,41.9360
3.3560,38.9399,41.9360
3.3600,38.9402,41.9360
3.3640,38.9402,41.9360
3.3680,38.9402,41.9360
3.3720,38.9402,41.9360
3.3760,39.3396,41.9360
3.3800,39.3396,41.9360
3.3840,39.3396,41.9360
3.3880,39.3396,41.9360
3.3920,39.3487,41.9360
3.3960,39.6858,41.9360
3.4000,39.6858,41.9360
3.4040,39.6858,41.9360
3.4080,39.6858,41.9360
3.4120,39.6927,41.9360
3.4160,39.9858,41.9360
3.4200,39.9858,41.9360
3.4240,39.9858,41.9360
3.4280,39.9858,41.9360
3.4320,39.9878,41.9360
3.4360,40.2424,41.9360
3.4400,40.2458,41.9360
3.4440,40.2458,41.9360
3.4480,40.4749,41.9360
3.4520,40.6990,41.9360
3.4560,40.9250,41.9360
3.4600,41.1301,41.9360
3.4640,41.3683,41.9360
3.4680,41.5978,41.9360
3.4720,41.8255,41.9360
3.4760,41.9360,41.9360
3.4800,41.9360,41.9360
3.4840,41.9360,41.9360
3.4880,41.9360,41.9360
3.4920,41.9360,41.9360
3.4960,41.9360,41.9360
3.5000,41.9360,41.9360
3.5040,41.9360,41.9360
3.5080,41.9360,41.9360
3.5120,41.9360,41.9360
3.5160,41.9360,41.9360
3.5200,41.9360,41.9360
3.5240,41.9360,41.9360
3.5280,41.9360,41.9360
3.5320,41.9360,41.9360
3.5360,41.9360,41.9360
3.5400,41.9360,41.9360
3.5440,41.9360,41.9360
3.5480,41.9360,41.9360
3.5520,41.9360,41.9360
3.5560,41.9360,41.9360
3.5600,41.9360,41.9360
3.5640,41.9360,41.9360
3.5680,41.9360,41.9360
3.5720,41.9360,41.9360
3.5760,41.9360,41.9360
3.5800,41.9360,41.9360
3.5840,41.9360,41.9360
3.5880,41.9360,41.9360
3.5920,41.9360,41.9360
3.5960,41.9360,41.9360
3.6000,41.9360,41.9360
3.6040,41.9360,41.9360
3.6080,41.9360,41.9360
3.6120,41.9360,41.9360
3.6160,41.9360,41.9360
3.6200,41.9360,41.9360
3.6240,41.9360,41.9360
3.6280,41.9360,41.9360
3.6320,41.9360,41.9360
