t_rel_s,sim_Little_deg,real_Little_deg
1.4640,6.8755,6.8755
1.4680,6.8755,6.8755
1.4720,6.8755,6.8755
1.4760,6.8755,6.8755
1.4800,6.8755,6.8755
1.4840,6.8755,6.8755
1.4880,6.8755,6.8755
1.4920,6.8755,6.8755
1.4960,6.8755,6.8755
1.5000,6.8755,6.8755
1.5040,6.8755,6.8755
1.5080,6.8755,6.8755
1.5120,6.8755,6.8755
1.5160,6.8755,6.8755
1.5200,6.8755,6.8755
1.5240,6.8755,6.8755
1.5280,6.8755,6.8755
1.5320,6.8755,6.8755
1.5360,6.8755,6.8755
1.5400,6.8755,6.8755
1.5440,6.8755,6.8755
1.5480,6.8755,6.8755
1.5520,6.8755,6.8755
1.5560,6.8755,6.8755
1.5600,6.8755,6.8755
1.5640,6.8755,6.8755
1.5680,6.8755,6.8755
1.5720,6.8755,6.8755
1.5760,6.8755,6.8755
1.5800,6.8755,6.8755
1.5840,6.8755,6.8755
1.5880,6.8755,6.8755
1.5920,6.8755,6.8755
1.5960,6.8755,6.8755
1.6000,6.8755,6.8755
1.6040,6.8755,6.8755
1.6080,6.8755,6.8755
1.6120,6.8755,6.8755
1.6160,6.8755,6.8755
1.6200,6.8755,6.8755
1.6240,6.8755,6.8755
1.6280,6.8755,6.8755
1.6320,6.8755,6.8755
1.6360,6.8755,6.8755
1.6400,6.8755,6.8755
1.6440,6.8755,6.8755
1.6480,6.8755,6.8755
1.6520,6.8755,6.8755
1.6560,6.8755,6.8755
1.6600,6.8755,6.8755
1.6640,6.8755,6.8755
1.6680,6.8755,6.8755
1.6720,6.8755,6.8755
1.6760,6.8755,6.8755
1.6800,6.8755,6.8755
1.6840,6.8755,6.8755
1.6880,6.8755,6.8755
1.6920,6.8755,6.8755
1.6960,6.8755,6.8755
1.7000,6.8755,6.8755
1.7040,6.8755,6.8755
1.7080,6.8755,6.8755
1.7120,6.8755,6.8755
1.7160,6.8755,6.8755
1.7200,6.8755,6.8755
1.7240,6.8755,6.8755
1.7280,6.8755,6.8755
1.7320,6.8755,6.8755
1.7360,6.8755,6.8755
1.7400,6.8755,6.8755
1.7440,6.8755,6.8755
1.7480,6.8755,6.8755
1.7520,6.8755,6.8755
1.7560,6.8755,6.8755
1.7600,6.8755,6.8755
1.7640,6.8755,6.8755
1.7680,6.8755,6.8755
1.7720,6.8755,6.8755
1.7760,6.8755,6.8755
1.7800,6.8755,6.8755
1.7840,6.8755,6.8755
1.7880,6.8755,6.8755
1.7920,6.8755,6.8755
1.7960,6.8755,6.8755
1.8000,6.8755,6.8755
1.8040,6.8755,6.8755
1.8080,6.8755,6.8755
1.8120,6.8755,6.8755
1.8160,6.8755,6.8755
1.8200,6.8755,6.8755
1.8240,6.8755,6.8755
1.8280,6.8755,6.8755
1.8320,6.8755,6.8755
1.8360,6.8755,6.8755
1.8400,6.8755,6.8755
1.8440,6.8755,6.8755
1.8480,6.8755,6.8755
1.8520,6.8755,6.8755
1.8560,6.8755,6.8755
1.8600,6.8755,6.8755
1.8640,6.8755,6.8755
1.8680,6.8755,6.8755
1.8720,6.8755,6.8755
1.8760,6.8755,6.8755
1.8800,6.8755,6.8755
1.8840,6.8755,6.8755
1.8880,6.8755,6.8755
1.8920,6.8755,6.8755
1.8960,6.8755,6.8755
1.9000,6.8755,6.8755
1.9040,6.8755,6.8755
1.9080,6.8755,6.8755
1.9120,6.8755,6.8755
1.9160,6.8755,6.8755
1.9200,6.8755,6.8755
1.9240,6.8755,6.8755
1.9280,6.8755,6.8755
1.9320,6.8755,6.8755
1.9360,6.8755,6.8755
1.9400,6.8755,6.8755
1.9440,6.8755,6.8755
1.9480,6.8755,6.8755
1.9520,6.8755,6.8755
1.9560,6.8755,6.8755
1.9600,6.8755,6.8755
1.9640,6.8755,6.8755
1.9680,6.8755,6.8755
1.9720,6.8755,6.8755
1.9760,6.8755,6.8755
1.9800,6.8755,6.8755
1.9840,6.8755,6.8755
1.9880,6.8755,6.8755
1.9920,6.8755,6.8755
1.9960,6.8755,6.8755
2.0000,6.8755,6.8755
2.0040,6.8755,6.8755
2.0080,6.8755,6.8755
2.0120,6.8755,6.8755
2.0160,6.8755,6.8755
2.0200,6.8755,6.8755
2.0240,6.8755,6.8755
2.0280,6.8755,6.8755
2.0320,6.8755,6.8755
2.0360,6.8755,6.8755
2.0400,6.8755,6.8755
2.0440,6.8755,6.8755
2.0480,6.8755,6.8755
2.0520,6.8755,6.8755
2.0560,6.8755,6.8755
2.0600,6.8755,6.8755
2.0640,6.8755,6.8755
2.0680,6.8755,6.8755
2.0720,6.8755,6.8755
2.0760,6.8755,6.8755
2.0800,6.8755,6.8755
2.0840,6.8755,6.8755
2.0880,6.8755,6.8755
2.0920,6.8755,6.8755
2.0960,6.8755,6.8755
2.1000,6.8755,6.8755
2.1040,6.8755,6.8755
2.1080,6.8755,6.8755
2.1120,6.8755,6.8755
2.1160,6.8755,6.8755
2.1200,6.8755,6.8755
2.1240,6.8755,6.8755
2.1280,6.8755,6.8755
2.1320,6.8755,6.8755
2.1360,6.8755,6.8755
2.1400,6.8755,6.8755
2.1440,6.8755,6.8755
2.1480,6.8755,6.8755
2.1520,6.8755,6.8755
2.1560,6.8755,6.8755
2.1600,6.8755,6.8755
2.1640,6.8755,6.8755
2.1680,6.8755,6.8755
2.1720,6.8755,6.8755
2.1760,6.8755,6.8755
2.1800,6.8755,6.8755
2.1840,6.8755,6.8755
2.1880,6.8755,6.8755
2.1920,6.8755,6.8755
2.1960,6.8755,6.8755
2.2000,6.8755,6.8755
2.2040,6.8755,6.8755
2.2080,6.8755,6.8755
2.2120,6.8755,6.8755
2.2160,6.8755,6.8755
2.2200,6.8755,6.8755
2.2240,6.8755,6.8755
2.2280,6.8755,6.8755
2.2320,6.8755,6.8755
2.2360,6.8755,6.8755
2.2400,6.8755,6.8755
2.2440,6.8755,6.8755
2.2480,6.8755,6.8755
2.2520,6.8755,6.8755
2.2560,6.8755,6.8755
2.2600,6.8755,6.8755
2.2640,6.8755,6.8755
2.2680,6.8755,6.8755
2.2720,6.8755,6.8755
2.2760,6.8755,6.8755
2.2800,6.8755,6.8755
2.2840,6.8755,6.8755
2.2880,6.8755,6.8755
2.2920,6.8755,6.8755
2.2960,6.8755,6.8755
2.3000,6.8755,6.8755
2.3040,6.8755,6.8755
2.3080,6.8755,6.8755
2.3120,6.8755,6.8755
2.3160,6.8755,6.8755
2.3200,6.8755,6.8755
2.3240,6.8755,6.8755
2.3280,6.8755,6.8755
2.3320,6.8755,6.8755
2.3360,6.8755,6.8755
2.3400,6.8755,6.8755
2.3440,6.8755,6.8755
2.3480,6.8755,6.8755
2.3520,6.8755,6.8755
2.3560,6.8755,6.8755
2.3600,6.8755,6.8755
2.3640,6.8755,6.8755
2.3680,6.8755,6.8755
2.3720,6.8755,6.8755
2.3760,6.8755,6.8755
2.3800,6.8755,6.8755
2.3840,6.8755,6.8755
2.3880,6.8755,6.8755
2.3920,6.8755,6.8755
2.3960,6.8755,6.8755
2.4000,6.8755,6.8755
2.4040,6.8755,6.8755
2.4080,6.8755,6.8755
2.4120,6.8755,6.8755
2.4160,6.8755,6.8755
2.4200,6.8755,6.8755
2.4240,6.8755,6.8755
2.4280,6.8755,6.8755
2.4320,6.8755,6.8755
2.4360,6.8755,6.8755
2.4400,6.8755,6.8755
2.4440,6.8755,6.8755
2.4480,6.8755,6.8755
2.4520,6.8755,6.8755
2.4560,6.8755,6.8755
2.4600,6.8755,6.8755
2.4640,6.8755,6.8755
2.4680,6.8755,6.8755
2.4720,6.8755,6.8755
2.4760,6.8755,6.8755
2.4800,6.8755,6.8755
2.4840,6.8755,6.8755
2.4880,6.8755,7.3610
2.4920,6.8755,7.5433
2.4960,6.8755,7.5433
2.5000,6.8755,7.7384
2.5040,6.8755,8.5012
2.5080,6.8755,8.8167
2.5120,6.8755,9.0825
2.5160,7.0207,9.4668
2.5200,7.1426,9.9332
2.5240,7.1426,10.2112
2.5280,7.1426,10.7586
2.5320,7.1426,11.0829
2.5360,7.4240,11.3532
2.5400,7.6413,11.7128
2.5440,7.6413,12.2328
2.5480,7.6413,12.4863
2.5520,7.6413,12.9308
2.5560,8.0016,13.3439
2.5600,8.2960,13.6287
2.5640,8.2960,13.9304
2.5680,8.2960,14.4399
2.5720,8.2960,14.7529
2.5760,8.7360,15.1433
2.5800,9.1306,15.5571
2.5840,9.1306,15.6206
2.5880,9.1306,16.4156
2.5920,9.1306,16.9605
2.5960,9.7018,17.3446
2.6000,10.1210,17.6511
2.6040,10.1210,17.9326
2.6080,10.1210,18.4602
2.6120,10.1210,18.7398
2.6160,10.6909,19.0978
2.6200,11.2465,19.6560
2.6240,11.2465,19.9625
2.6280,11.2465,20.4650
2.6320,11.2465,20.9992
2.6360,11.9122,21.2336
2.6400,12.4891,21.2336
2.6440,12.4891,21.3217
2.6480,12.4891,22.1051
2.6520,12.4891,22.4592
2.6560,13.1949,23.0543
2.6600,13.7886,23.6686
2.6640,13.7886,23.9325
2.6680,13.7886,24.2062
2.6720,13.7886,24.7131
2.6760,14.5747,25.0750
2.6800,15.1820,25.4352
2.6840,15.1820,25.9357
2.6880,15.1820,26.2070
2.6920,15.1820,26.4447
2.6960,16.0007,26.8536
2.7000,16.6567,27.3496
2.7040,16.6567,27.6246
2.7080,16.6567,27.8893
2.7120,16.6567,28.3650
2.7160,17.4416,28.5796
2.7200,18.1573,28.8843
2.7240,18.1573,29.6291
2.7280,18.1573,29.8913
2.7320,18.1573,30.1292
2.7360,19.0324,30.5428
2.7400,19.7251,31.0152
2.7440,19.7251,31.2795
2.7480,19.7251,31.5611
2.7520,19.7251,31.8237
2.7560,20.6256,32.2587
2.7600,21.3064,32.6932
2.7640,21.3064,32.9672
2.7680,21.3064,33.2339
2.7720,21.3064,33.5041
2.7760,22.1953,34.1336
2.7800,22.8994,34.7043
2.7840,22.8994,34.9239
2.7880,22.8994,34.9239
2.7920,22.8994,34.9239
2.7960,23.7597,35.5917
2.8000,24.5027,36.4883
2.8040,24.5027,36.9885
2.8080,24.5027,37.2528
2.8120,24.5027,37.5128
2.8160,25.4602,37.7772
2.8200,26.2038,38.1622
2.8240,26.2038,38.7029
2.8280,26.2038,39.2405
2.8320,26.2038,39.5269
2.8360,26.2038,39.7835
2.8400,27.1838,40.1586
2.8440,27.9898,40.6580
2.8480,27.9898,40.9331
2.8520,27.9898,41.4427
2.8560,28.9564,41.6020
2.8600,29.7157,41.6020
2.8640,29.7157,41.7036
2.8680,29.7157,42.2438
2.8720,29.7157,42.2699
2.8760,29.7157,42.2699
2.8800,30.6129,42.2699
2.8840,31.3896,42.2699
2.8880,31.3896,42.2699
2.8920,31.3896,42.2699
2.8960,32.2070,42.2699
2.9000,32.8403,42.2699
